"","x"
"1","learn"
"2","choices"
"3","trump"
"4","youtube"
"5","megaphone"
"6","life"
"7","use"
"8","support"
"9","book"
"10","time"
"11","code"
"12","today"
"13","first"
"14","media"
"15","read"
"16","show"
"17","times"
"18","spotify"
"19","next"
"20","apple"
"21","twitter"
"22","privacy"
"23","david"
"24","candace"
"25","people"
"26","social"
"27","best"
"28","harris"
"29","daily"
"30","now"
"31","please"
"32","just"
"33","york"
"34","video"
"35","website"
"36","join"
"37","also"
"38","listen"
"39","stories"
"40","discuss"
"41","full"
"42","kamala"
"43","world"
"44","story"
"45","news"
"46","health"
"47","bet"
"48","connect"
"49","kids"
"50","reading"
"51","check"
"52","see"
"53","help"
"54","want"
"55","aloud"
"56","information"
"57","tiktok"
"58","day"
"59","find"
"60","tickets"
"61","business"
"62","theo"
"63","talk"
"64","author"
"65","music"
"66","friends"
"67","year"
"68","channel"
"69","know"
"70","brain"
"71","links"
"72","morning"
"73","politics"
"74","bobby"
"75","make"
"76","years"
"77","mel"
"78","way"
"79","policy"
"80","andrew"
"81","crime"
"82","bad"
"83","follow"
"84","week"
"85","sleep"
"86","books"
"87","need"
"88","two"
"89","part"
"90","latest"
"91","president"
"92","debate"
"93","murder"
"94","hear"
"95","call"
"96","back"
"97","donald"
"98","university"
"99","purchase"
"100","things"
"101","last"
"102","american"
"103","death"
"104","thank"
"105","brew"
"106","even"
"107","case"
"108","much"
"109","biden"
"110","man"
"111","questions"
"112","whether"
"113","live"
"114","election"
"115","patrick"
"116","right"
"117","month"
"118","real"
"119","white"
"120","war"
"121","ever"
"122","including"
"123","director"
"124","morgan"
"125","special"
"126","research"
"127","enjoy"
"128","body"
"129","text"
"130","merch"
"131","ceo"
"132","love"
"133","valuetainment"
"134","exclusive"
"135","advice"
"136","former"
"137","available"
"138","family"
"139","work"
"140","secret"
"141","culture"
"142","found"
"143","every"
"144","house"
"145","state"
"146","resources"
"147","pbd"
"148","behind"
"149","little"
"150","shawn"
"151","host"
"152","made"
"153","many"
"154","press"
"155","past"
"156","ryan"
"157","future"
"158","listener"
"159","megyn"
"160","club"
"161","america"
"162","tour"
"163","early"
"164","israel"
"165","california"
"166","old"
"167","patreon"
"168","huberman"
"169","online"
"170","going"
"171","trial"
"172","truth"
"173","police"
"174","founder"
"175","big"
"176","march"
"177","friday"
"178","kelly"
"179","november"
"180","self"
"181","may"
"182","plus"
"183","along"
"184","months"
"185","campaign"
"186","young"
"187","Â follow"
"188","important"
"189","facebook"
"190","tools"
"191","app"
"192","sign"
"193","tool"
"194","getting"
"195","sponsor"
"196","woman"
"197","win"
"198","discount"
"199","guest"
"200","father"
